City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bintulu,3.17,113.03,78.8,94,20,4.7,MY,1603913991
Ilulissat,69.22,-51.1,17.6,48,40,5.82,GL,1603913831
Nísia Floresta,-6.09,-35.21,82.4,69,40,16.11,BR,1603913991
Viedma,-40.81,-63,62.01,46,95,15.99,AR,1603913991
Bairiki Village,1.33,172.98,77,88,20,2.24,KI,1603913991
Qasigiannguit,68.82,-51.19,17.6,48,40,5.82,GL,1603913991
Sioux Lookout,50.1,-91.92,26.6,68,90,8.05,CA,1603913992
Takoradze,4.88,-1.76,77.97,89,89,9.17,GH,1603913992
Haines Junction,60.75,-137.51,32,92,98,1.12,CA,1603913992
Adré,13.47,22.2,81,24,10,7.74,TD,1603913992
Ikalamavony,-21.15,46.58,68.22,66,16,11.3,MG,1603913992
Ribeira Grande,38.52,-28.7,66.2,82,75,16.11,PT,1603913864
Graciano Sánchez,23.92,-99.28,73.04,30,0,8.9,MX,1603913992
Chifeng,42.27,118.96,35.89,69,92,3.31,CN,1603913992
Sirte,31.21,16.59,70.83,61,0,16.98,LY,1603913992
Grand-Santi,4.25,-54.38,95.34,33,75,2.84,GF,1603913992
Ketchikan,55.34,-131.65,44.6,100,90,0.67,US,1603913992
Constitución,-35.33,-72.42,60.37,56,0,20.51,CL,1603913992
El Burrión,25.53,-108.4,80.01,21,0,5.99,MX,1603913992
Pingxiang,27.62,113.85,59.52,85,100,2.24,CN,1603913992
Imbituba,-28.24,-48.67,77,69,0,18.34,BR,1603913895
Harper,4.38,-7.72,77.72,87,16,5.73,LR,1603913993
Kwekwe,-18.93,29.81,70.72,25,0,7.25,ZW,1603913993
Juegang,32.32,121.19,63,1,100,12.24,CN,1603913993
Priyutnoye,46.1,43.51,46,61,24,25.01,RU,1603913993
Tremedal,-14.98,-41.41,80.8,70,100,0.87,BR,1603913993
Honiara,-9.43,159.95,75.2,100,75,4.7,SB,1603913866
Fukuechō,32.69,128.84,67.55,56,60,11.99,JP,1603913993
Kloulklubed,7.04,134.26,77,94,75,10.33,PW,1603913993
Port Hueneme,34.15,-119.2,77,37,1,5.82,US,1603913993
Khrebtovaya,56.7,104.25,28.51,98,100,4.7,RU,1603913993
Birao,10.28,22.79,78.82,34,0,4.21,CF,1603913993
Methóni,36.82,21.7,63,87,75,14.99,GR,1603913993
Saint George,37.1,-113.58,68,17,1,2.64,US,1603913981
Pangnirtung,66.15,-65.71,19.4,57,90,3.71,CA,1603913994
Brae,60.4,-1.35,50,81,40,6.93,GB,1603913994
Catarama,-1.58,-79.47,99.12,30,100,0.78,EC,1603913994
Gold Coast,-28,153.43,63,88,1,4.7,AU,1603913742
Marang,5.21,103.21,78.8,94,40,2.24,MY,1603913994
Laas,46.62,10.7,45,60,5,5.82,IT,1603913994
Dawei,14.08,98.2,74.59,90,100,2.82,MM,1603913994
Alice,27.75,-98.07,64.4,42,1,16.11,US,1603914034
Touros,-5.2,-35.46,82.4,69,40,16.11,BR,1603914031
Loveland,40.4,-105.08,53.01,49,1,12.75,US,1603913863
Pedernales,18.04,-71.74,87.8,62,40,16.11,DO,1603914034
Baft,29.23,56.61,50.5,37,0,4.88,IR,1603914034
Arroio Grande,-32.24,-53.09,72,71,91,1.01,BR,1603913920
Avera,33.19,-82.53,84.2,66,75,9.17,US,1603914034
Muli,2.92,73.57,82.74,76,100,11.56,MV,1603914035
Kirakira,-10.45,161.92,80.64,80,81,11.52,SB,1603914035
Colares,38.8,-9.45,64.99,72,75,6.93,PT,1603913865
Tautira,-17.73,-149.15,77,88,75,17.22,PF,1603914035
Marsá Maţrūḩ,31.35,27.25,73.4,73,0,9.17,EG,1603914035
Fairbanks,64.84,-147.72,17.6,92,90,3.36,US,1603914035
Barsāna,27.65,77.38,69.19,24,0,1.07,IN,1603914035
Khovd,48.01,91.64,32.94,81,34,5.5,MN,1603913738
Aykhal,66,111.5,-9.26,89,0,2.06,RU,1603914035
Havelock,34.88,-76.9,79,61,75,6.93,US,1603913901
Ludvika,60.15,15.19,45,93,28,8.05,SE,1603914035
Neuenkirchen,52.24,7.37,50,87,20,9.17,DE,1603914035
Yakima,46.47,-120.67,48.2,45,1,1.5,US,1603913839
Basi,26.83,76.03,69.8,40,0,4.47,IN,1603914036
Biak,-0.91,122.88,76.96,79,100,4.76,ID,1603914036
Ahipara,-35.17,173.17,64.51,81,100,4.52,NZ,1603913804
Santa Lucía,27.91,-15.54,71.6,56,75,20.8,ES,1603914036
Havre-St-Pierre,50.23,-63.6,28.4,68,90,4.7,CA,1603914036
Nevers,46.99,3.16,55,91,100,3,FR,1603914036
Mehamn,71.04,27.85,39.2,85,75,14.99,NO,1603914036
Esim,4.87,-2.24,78.39,87,100,8.77,GH,1603914036
Kieta,-6.22,155.63,79.57,76,100,3.04,PG,1603914036
Bucerías,20.75,-105.33,87.8,66,20,10.29,MX,1603914036
Mahajanga,-15.72,46.32,78.8,65,40,5.82,MG,1603914036
Saint-Louis,16.33,-15,91.33,11,0,3.94,SN,1603914037
Port Lincoln,-34.73,135.87,58.89,78,79,12.91,AU,1603914037
Kwang Binh,17.48,106.6,79.02,84,100,23.58,VN,1603914037
Krasnaya Gora,53,31.6,44.6,93,0,6.71,RU,1603914037
Tacuatí,-23.45,-56.58,96.57,29,23,2.39,PY,1603914037
Nerchinsk,51.98,116.58,24.76,91,0,1.61,RU,1603914037
Beni Mazar,28.5,30.8,75.4,49,98,14.18,EG,1603914037
Sawang Daen Din,17.48,103.46,75,92,100,7.54,TH,1603914037
Międzychód,52.6,15.9,50,81,0,9.17,PL,1603914037
Tuensang,26.28,94.83,64.83,74,11,2.35,IN,1603914037
Black River,18.03,-77.85,86,79,20,14.99,JM,1603914037
Wukari,7.85,9.78,80.42,45,0,3.33,NG,1603914038
Kidodi,-7.6,37,76.03,67,72,1.01,TZ,1603914038
Coquimbo,-29.95,-71.34,64.4,55,0,16.11,CL,1603914038
Tucumcari,35.17,-103.72,33.8,98,90,16.11,US,1603914038
San Patricio,28.02,-97.52,63,55,20,18.34,US,1603914009
Xining,36.62,101.77,34.16,75,0,2.19,CN,1603913754
Killybegs,54.63,-8.45,50,71,75,23.04,IE,1603914038
Pskov,57.81,28.35,42.8,93,40,4.47,RU,1603913972
Havøysund,71,24.66,39.2,93,90,11.41,NO,1603914078
Morbach,49.82,7.12,55,76,40,16.11,DE,1603914078
Kemijärvi,66.71,27.43,42.08,92,100,10.04,FI,1603914078
Puri,19.8,85.85,76.48,55,0,7.11,IN,1603914078
Caravelas,-17.71,-39.25,79.03,82,100,15.1,BR,1603913783
Vila Velha,-20.33,-40.29,84.99,78,40,18.34,BR,1603913952
Darnah,32.77,22.64,68.97,64,0,14.74,LY,1603914078
Chino,34.01,-117.69,78.01,15,1,7.09,US,1603914079
Oussouye,12.48,-16.55,86,79,0,4.7,SN,1603914079
Vanimo,-2.67,141.3,78.03,82,52,4.27,PG,1603914079
Alta Floresta,-9.88,-56.09,91.4,49,40,5.82,BR,1603914079
Nam Som,17.77,102.19,73.87,83,100,0.47,TH,1603914079
Saint-Leu,-21.15,55.28,73.4,73,0,11.41,RE,1603914079
Kangaatsiaq,68.31,-53.46,20.97,92,99,6.76,GL,1603914079
Am Timan,11.03,20.28,80.47,35,0,2.95,TD,1603913887
Udachny,66.42,112.4,-14.57,88,0,1.41,RU,1603914079
Kamenka,51.32,42.77,35.96,75,0,8.43,RU,1603914079
Murakami,38.23,139.48,54.88,75,75,11.79,JP,1603914079
Impfondo,1.64,18.07,74.35,93,100,3.18,CG,1603914080
Vuktyl,63.86,57.31,36.05,97,100,14.79,RU,1603914037
Muros,42.78,-9.06,57.99,87,5,1.99,ES,1603913909
Terra Nova,-12.37,-40.67,77.45,70,100,5.28,BR,1603913928
Sabha,27.04,14.43,69.4,36,0,16.49,LY,1603914080
Shymkent,42.3,69.6,39.2,51,0,1.01,KZ,1603914080
Gamba,-2.65,10,76.3,88,100,1.66,GA,1603914080
Zliten,32.47,14.57,68.61,62,3,18.01,LY,1603914080
Jijiang,29.29,106.25,59,94,100,2.86,CN,1603914080
General Cepeda,25.38,-101.45,71.6,43,5,5.82,MX,1603914080
São Sebastião,-23.76,-45.41,79.66,61,1,2.13,BR,1603914080
Dhilwan,31.52,75.35,62.6,82,0,3.62,IN,1603914080
Mazagão,-0.12,-51.29,89.6,66,20,11.41,BR,1603914080
Yangi Marg`ilon,40.43,71.72,37.4,55,100,6.93,UZ,1603914080
Birjand,32.87,59.22,48.2,36,0,9.17,IR,1603914049
Jati,24.35,68.27,76.41,70,0,8.01,PK,1603914081
Sai Buri,6.7,101.62,78.22,83,100,7.18,TH,1603914081
Teruel,40.67,-0.67,57.2,71,0,9.17,ES,1603914081
Uvarovo,51.98,42.26,35.74,76,0,8.46,RU,1603913947
Cockburn Town,21.46,-71.14,82.09,78,2,19.8,TC,1603914010
Risod,19.97,76.78,68.47,52,0,1.63,IN,1603914081
Altavilla Vicentina,45.52,11.46,54,99,0,2.62,IT,1603914081
Ayagoz,47.97,80.44,33.12,88,99,11.92,KZ,1603914081
Shiraoi,42.55,141.35,50,100,75,10.29,JP,1603914081
Srednekolymsk,67.45,153.68,6.73,94,92,1.97,RU,1603914081
Puerto Ayacucho,5.66,-67.62,89.44,64,4,4.05,VE,1603914081
Yakymivka,46.69,35.15,54.25,79,0,10.38,UA,1603914081
Sovetsk,55.08,21.88,48.58,87,72,6.87,RU,1603914082
Cosmópolis,-22.65,-47.2,93.2,15,20,18.34,BR,1603914082
Anadyr,64.75,177.48,6.8,92,0,6.71,RU,1603914082
Kuching,1.55,110.33,75.2,100,20,2.24,MY,1603914109
Kasempa,-13.46,25.83,72.34,43,98,2.89,ZM,1603914122
Maumere,-8.62,122.21,79.77,77,66,1.39,ID,1603914122
Shenjiamen,29.96,122.3,66.09,79,44,12.41,CN,1603914122
San-Pédro,4.75,-6.64,77.61,86,99,4.32,CI,1603914122
Bhuj,23.27,69.67,76.95,51,8,4.21,IN,1603914122
Shangqiu,34.45,115.65,61,72,100,4.63,CN,1603914123
Sørland,67.67,12.69,46.4,81,75,4.7,NO,1603914123
Paita,-5.09,-81.11,75.2,60,0,19.46,PE,1603914123
Boot,14.05,121.08,78.8,83,20,3.36,PH,1603914123
Gujan-Mestras,44.63,-1.07,59,77,20,8.05,FR,1603914108
Camacupa,-12.02,17.48,65.1,89,100,4.5,AO,1603914123
Chernyshevskiy,63.01,112.47,4.64,94,46,8.03,RU,1603914123
Emba,48.83,58.14,35.6,76,0,0.89,KZ,1603914123
Hualmay,-11.1,-77.61,68.7,69,64,11.74,PE,1603913924
Nakusp,50.25,-117.8,37.4,93,100,2.26,CA,1603914123
Kindia,10.06,-12.87,74.17,68,42,0.51,GN,1603914123
